Id,Ingredients,Ingredients_tr
1,a double crust inch pie,çift ​​kabuklu inçlik pasta
2,a inch deep dish pie crust,bir inç derinliğinde tabak pasta kabuğu
3,a inch double crust pie,bir inçlik çift kabuklu pasta
4,a inch pie crust,bir inçlik pasta kabuğu
5,a inch single crust pie,bir inçlik tek kabuklu pasta
6,a little olive oil the pan,tavaya biraz zeytinyağı
7,a pinch kosher salt,artı bir tutam koşer tuzu
8,a single crust inch pie,tek kabuklu inçlik pasta
9,a single pie crust,tek bir pasta kabuğu
10,abalone shell,deniz kulağı kabuğu
11,absinthe,absinthe
12,aburaage,aburaaj
13,acacia honey,akasya balı
14,acai berry pulp,acai meyvesi posası
15,acai berry sorbet,acai meyvesi şerbeti
16,acai blueberry juice,acai yaban mersini suyu
17,acai juice,acai suyu
18,acai powder,acai tozu
19,acesulfame potassium sweetener,asesülfam potasyum tatlandırıcı
20,achiote paste,Achiot ezmesi
21,achiote powder,achiot tozu
22,acini di pepe pasta,acini di pepe makarna
23,acorn squash,meşe palamudu kabağı
24,acorn squashe,meşe palamudu kabağı
25,active dry yeast,ons) paket aktif kuru maya
26,active sourdough starter,aktif ekşi maya başlatıcı
27,active yeast,aktif maya
28,active yeast bread machine yeast,aktif maya ekmek makinası mayası
29,additional heavy cream topping,ilave ağır krema tepesi
30,additional parmesan cheese,ilave parmesan peyniri
31,additional reddi wip original whipped cream candy,ek reddi wip orijinal krem ​​şanti şekeri
32,additional sugar sprinkling,ilave şeker serpme
33,additional teriyaki sauce,ilave teriyaki sosu
34,additional virgin olive oil brushing,ilave sızma zeytinyağı fırçalaması
35,adobo all purpose seasoning,adobo çok amaçlı baharat
36,adobo all purpose seasoning pepper,adobo çok amaçlı baharat biberi
37,adobo pepper,adobo biberi
38,adobo sauce,adobo sosu
39,adobo sauce from,adobo sosu
40,adobo sauce from canned chily,konserve biberden adobo sosu
41,adobo sauce from canned chipotle,konserve çipottan adobo sosu
42,adobo sauce from canned chipotle pepper,konserve chipotle biberinden adobo sosu
43,adobo sauce from chipotle pepper,chipotle biberinden adobo sosu
44,adobo sauce from chipotle peppers,chipotle biberinden adobo sosu
45,adobo seasoning,adobo baharatı
46,adobo seasoning pepper,adobo biber baharatı
47,advieh,öğüt
48,adzuki bean,adzuki fasulyesi
49,african pepper,Afrika biberi
50,agar agar,ağar ağar
51,agar agar flake,agar agar pulu
52,agar agar powder,agar agar tozu
53,agave,agav
54,agave nectar,agav nektarı
55,agave nectar honey,agav nektarı balı
56,agave syrup,agav şurubu
57,aged balsamic vinegar,yıllandırılmış balzamik sirke
58,aged cheddar cheese,eski kaşar peyniri
59,aged colby cheddar cheese,eski colby kaşar peyniri
60,aged provolone cheese,eski provolon peyniri
61,aged sharp cheddar cheese,eski keskin çedar peyniri
62,aged wine vinegar,yıllanmış şarap sirkesi
63,ahi steak,ahi biftek
64,ahi tuna,ahi ton balığı
65,ahi tuna steak,ahi ton balıklı biftek
66,aji amarillo,Aji Amarillo
67,aji amarillo chile paste,aji amarillo şili ezmesi
68,aji amarillo chili paste,aji amarillo biber salçası
69,aji chile,Aji Şili
70,aji nori furikake,aji nori furikake
71,aji pepper,aji biberi
72,ajwain,ajwain
73,ajwain seed,ajwain tohumu
74,alaskan cod,Alaska morina balığı
75,alaskan king crab leg,Alaska kral yengeç bacağı
76,alaskan king crab leg shell,Alaska kral yengeç bacak kabuğu
77,albacore tuna,Albakor ton balığı
78,albacore tuna in water,albacore ton balığı suda
79,alcohol,alkol
80,aleppo chile,Halep Şili
81,aleppo chile flake,Halep Şili gevreği
82,aleppo chili flake,Halep biber gevreği
83,aleppo pepper,Halep biberi
84,aleppo pepper flake,Halep biber gevreği
85,aleppo pepper flake other pepper flake,Halep biber gevreği diğer biber gevreği
86,alfalfa sprout,yonca filizi
87,alfredo pasta sauce,alfredo makarna sosu
88,alfredo sauce,Alfredo sosu
89,alfredo sauce mix,alfredo sos karışımı
90,alfredo style pasta sauce,alfredo usulü makarna sosu
91,all beef dog,tüm sığır eti köpek
92,all beef frank,tüm sığır eti frank
93,all butter shortcrust pastry,tüm tereyağlı kurabiye hamuru
94,all fruit,tüm meyveler
95,all fruit raspberry jam,tüm meyvelerden ahududu reçeli
96,all natural marmalade,tamamen doğal marmelat
97,all natural peanut butter,tamamen doğal fıstık ezmesi
98,all natural pesto basil,tamamen doğal pesto fesleğen
99,all natural southwest salad kit,tamamen doğal güneybatı salata seti
100,all purpose baking mix,çok amaçlı pişirme karışımı
101,all purpose biscuit baking mix,çok amaçlı bisküvi pişirme karışımı
102,all purpose bleached flour,çok amaçlı ağartılmış un
103,all purpose buttermilk baking mix,çok amaçlı ayran pişirme karışımı
104,all purpose einkorn flour,çok amaçlı siyez unu
105,all purpose flour,çok amaçlı un
106,all purpose flour additional dusting pan,çok amaçlı un ilave toz alma tavası
107,all purpose flour coating,çok amaçlı un kaplama
108,all purpose flour dredging,çok amaçlı un tarama
109,all purpose flour dusting,çok amaçlı un tozu alma
110,all purpose flour kneading dough,çok amaçlı un hamur yoğurma
111,all purpose gluten free flour,çok amaçlı glutensiz un
112,all purpose potato,çok amaçlı patates
113,all purpose rice flour,çok amaçlı pirinç unu
114,all purpose seasoning,çok amaçlı baharat
115,all purpose seasoning blend,çok amaçlı baharat karışımı
116,all purpose wheat flour,çok amaçlı buğday unu
117,all vegetable shortening,tüm sebze kısaltmaları
118,all-purpose flour,çok amaçlı un
119,"all-purpose flour, divided","çok amaçlı un, bölünmüş"
120,alligator meat,timsah eti
121,allspice,yenibahar
122,allspice berry,yenibahar meyvesi
123,almande,almande
124,almond,badem
125,almond bark,badem kabuğu
126,almond breeze almondmilk,badem esintisi badem sütü
127,almond breeze chocolate almondmilk,badem esintisi çikolatalı badem sütü
128,almond breeze hint honey almondmilk,badem esintisi ipucu bal badem sütü
129,almond breeze hint honey vanilla almondmilk,badem esintisi ipucu bal vanilya badem sütü
130,almond breeze original,badem esintisi orijinal
131,almond breeze original almondmilk,badem esintisi orijinal badem sütü
132,almond breeze original any almond breeze almond cashew blend,badem esintisi orijinal herhangi bir badem esintisi badem kaju karışımı
133,almond breeze original unsweetened almondmilk,badem esintisi orijinal şekersiz badem sütü
134,almond breeze original unsweetened original almondmilk,badem esintisi orijinal şekersiz orijinal badem sütü
135,almond breeze unsweetened original almond cashew original,badem esintisi şekersiz orijinal badem kaju orijinal
136,almond breeze unsweetened original almondmilk,badem esintisi şekersiz orijinal badem sütü
137,almond breeze unsweetened original any almond breeze almond cashew blend,badem esintisi şekersiz orijinal herhangi bir badem esintisi badem kaju karışımı
138,almond breeze unsweetened vanilla almondmilk,badem esintisi şekersiz vanilya badem sütü
139,almond breeze vanilla almondmilk,badem esintisi vanilya badem sütü
140,almond breeze vanilla cashew almond blend almondmilk,badem esintisi vanilya kaju badem karışımı badem sütü
141,almond breeze vanilla vanilla cashew blend almondmilk,badem esintisi vanilya vanilya kaju karışımı badem sütü
142,almond brickle chip,bademli tuğla çip
143,almond butter,badem ezmesi
144,almond cake pastry filling,bademli kek pasta dolgusu
145,almond coconut milk,badem hindistan cevizi sütü
146,almond cream cheese alternative spread,bademli krem ​​peynir alternatifi
147,almond extract,badem özü
148,almond flavor,badem aroması
149,almond flavored syrup,badem aromalı şurup
150,almond flavoring,badem aroması
151,almond flour,badem unu
152,almond flour (such as Bob's Red Mill®,badem unu
153,almond fruit flavored soda,badem meyve aromalı soda
154,almond halve,badem yarısı
155,almond meal,badem yemeği
156,almond milk,badem sütü
157,almond oil,badem yağı
158,almond paste,badem ezmesi
159,almond pecan,badem cevizi
160,almond slice,badem dilimi
161,almond sliver,badem şeridi
162,aloe vera juice,aloe vera suyu
163,alphabet pasta,alfabe makarna
164,alum,şap
165,aluminum foil,alüminyum folyo
166,aluminum foil baking jumbo,alüminyum folyo pişirme jumbo
167,aluminum foil the grill,alüminyum folyo ızgara
